*ELEMENT, TYPE=C3D4
11189, 325, 325, 11106, 11109, 10794
10747, 326, 326, 11028, 11069, 10695
10685, 327, 327, 188, 191, 773
210, 328, 328, 5220, 4954, 4982
5213, 329, 329, 9891, 9963, 9628
10033, 330, 330, 10936, 10991, 10570
10586, 331, 331, 431, 435, 396
1077, 332, 332, 6913, 7169, 7147
6917, 333, 333, 10588, 10546, 10909
10965, 334, 334, 641, 40, 92
564, 335, 335, 7068, 7258, 7033
6919, 336, 336, 10408, 10357, 10020
10463, 337, 337, 5060, 4717, 5067
4910, 338, 338, 9560, 9315, 9448
9488, 339, 339, 9063, 9318, 9222
9206, 340, 340, 5052, 5051, 5093
4912, 341, 341, 6493, 6233, 6313
6371, 342, 342, 2462, 2615, 2970
2734, 343, 343, 111, 677, 136
692, 344, 344, 8711, 8957, 9010
8875, 345, 345, 1188, 1122, 447
1048, 346, 346, 4251, 3982, 4290
4114, 347, 347, 814, 205, 777
720, 348, 348, 5356, 5499, 5448
5324, 349, 349, 8334, 8167, 7987
8168, 350, 350, 8377, 8236, 8491
8269, 351, 351, 107, 37, 639
87, 352, 352, 871, 935, 1494
1389, 353, 353, 7655, 7531, 7586
7621, 354, 354, 6399, 6463, 6183
6312, 355, 355, 8758, 9004, 8872
9054, 356, 356, 8625, 8685, 8753
8644, 357, 357, 1844, 1768, 1438
1516, 358, 358, 9289, 9456, 9141
9146, 359, 359, 5234, 5050, 4964
5183, 360, 360, 166, 128, 686
120, 361, 361, 520, 521, 4
18, 362, 362, 3898, 4032, 4122
4034, 363, 363, 9998, 10423, 10042
10347, 364, 364, 3658, 3497, 3621
3439, 365, 365, 2222, 2163, 2017
1890, 366, 366, 869, 536, 852
933, 367, 367, 2204, 2220, 2045
2365, 368, 368, 11095, 11141, 10774
11115, 369, 369, 2836, 3220, 3010
3115, 370, 370, 1860, 1551, 1712
1505, 371, 371, 6544, 6407, 6264
6377, 372, 372, 8738, 8657, 8473
8628, 373, 373, 4954, 5213, 5125
5106, 374, 374, 733, 639, 107
147, 375, 375, 112, 130, 667
155, 376, 376, 904, 340, 980
354, 377, 377, 2538, 2397, 2377
2343, 378, 378, 1917, 1849, 1890
